,Mean,95% LL,95% UL
ka,0.009948275052011013,0.007301970850676298,0.013287665322422981
kns,0.0030834446661174297,0.001763061503879726,0.004402640275657177
Af,0.6446232199668884,0.43918731808662415,0.8561901450157166
ka_sp,0.00666708592325449,0.00501991156488657,0.008420614525675774
kns_sp,0.0009249720606021583,0.0008065223810262978,0.0010400660103186965
Af_sp,0.7473956942558289,0.6634504795074463,0.8272207379341125
