,Mean,95% LL,95% UL
ka,0.006019449792802334,0.0050718532875180244,0.006915427278727293
kns,0.0005971432547084987,0.00017715357535053045,0.0011164171155542135
Af,0.8631963133811951,0.786041259765625,0.9334551095962524
ka_sp,0.004743644036352634,0.00356876477599144,0.005987712647765875
kns_sp,5.4326679673977196e-05,3.3454551157774404e-05,7.432112033711746e-05
Af_sp,0.9080415368080139,0.8459179401397705,0.9685020446777344
