,Mean,95% LL,95% UL
ka,0.001315120724029839,0.0009345929720439017,0.0017246074276044965
kns,0.0003653736785054207,0.0002297036990057677,0.0005043481942266226
Af,0.6096193194389343,0.4128931760787964,0.7823714017868042
ka_sp,0.0006320864195004106,0.0003921815368812531,0.0008554247906431556
kns_sp,5.588547355728224e-05,3.3062431612052023e-05,7.65579316066578e-05
Af_sp,0.8729655146598816,0.7694234848022461,0.9892328977584839
