,Mean,95% LL,95% UL
ka,0.011227765120565891,0.007413116749376059,0.016544291749596596
kns,0.004420974757522345,0.002007888862863183,0.006752571556717157
Af,0.6585568189620972,0.32349473237991333,0.9258900284767151
ka_sp,0.00666708592325449,0.00501991156488657,0.008420614525675774
kns_sp,0.0009249720606021583,0.0008065223810262978,0.0010400660103186965
Af_sp,0.7473956942558289,0.6634504795074463,0.8272207379341125
